domain,tier1_id,tier2_id
chilipeppermadness.com,"IAB9","IAB9-12"
tmj4.com,"IAB16","IAB16-9"
buffalorumblings.com,"IAB24","IAB24-1"
sports-reference.com,"IAB24",
bustle.com,"IAB25","IAB25-1"
terra.com.br,"IAB16","IAB16-10"
sportmediaset.mediaset.it,"IAB24","IAB24-18"
medicalnewstoday.com,"IAB13",
sports.fr,"IAB24",
radio-osterreich.at,"IAB15",
destinationlesstravel.com,"IAB28",
247solitaire.com,"IAB11","IAB11-6"
eltiempo.es,"IAB22","IAB22-10"
index.hu,"IAB16","IAB16-11"
meteored.mx,"IAB22","IAB22-10"
askchefdennis.com,"IAB9","IAB9-12"
aufeminin.com,"IAB25","IAB25-9"
avclub.com,"IAB19","IAB19-2"
morelimedia.com,"IAB19","IAB19-1"
cyclingnews.com,"IAB24","IAB24-10"
op-online.de,"IAB16","IAB16-9"
eatwell101.com,"IAB9","IAB9-12"
pausette.fr,"IAB19","IAB19-1"
lavanguardia.com,"IAB16","IAB16-10"
cyclingweekly.com,"IAB24","IAB24-10"
tuttocampo.it,"IAB24","IAB24-18"
delfi.ee,"IAB16","IAB16-10"
janespatisserie.com,"IAB9","IAB9-6"
gardentabs.com,"IAB12","IAB12-4"
kicker.de,"IAB24","IAB24-18"
paws.greatergood.com,"IAB18","IAB18-7"
jsonformatter.org,"IAB26","IAB26-24"
optionsprofitcalculator.com,"IAB17","IAB17-9"
markt.de,"IAB23","IAB23-5"
wfmz.com,"IAB16","IAB16-9"
amomeupet.org,"IAB18",
kristineskitchenblog.com,"IAB9","IAB9-12"
smart-rechner.de,"IAB3","IAB3-10"
pcgamesn.com,"IAB29","IAB29-10"
naslovi.net,"IAB16","IAB16-10"
chinatimes.com,"IAB16","IAB16-10"
laurasbakery.nl,"IAB9","IAB9-12"
tameteo.com,"IAB22","IAB22-10"
billboard.com,"IAB15",
closermag.fr,"IAB19","IAB19-1"
hibridosyelectricos.com,"IAB2","IAB2-10"
njuskalo.hr,"IAB23","IAB23-5"
de.marketscreener.com,"IAB3","IAB3-1"
runnersworld.de,"IAB24","IAB24-36"
tuasaude.com,"IAB13",
soaps.sheknows.com,"IAB27","IAB27-4"
perfectgame.org,"IAB24","IAB24-3"
solitaire.net,"IAB29","IAB29-2"
sport5.co.il,"IAB24","IAB24-18"
awfulannouncing.com,"IAB16","IAB16-13"
musicradar.com,"IAB15",
eurogamer.net,"IAB29","IAB29-7"
dilei.it,"IAB25","IAB25-9"
purepeople.com,"IAB19","IAB19-1"
zdnet.com,"IAB26",
actu.voici.fr,"IAB19","IAB19-1"
ondemandkorea.com,"IAB27","IAB27-8"
silverandblackpride.com,"IAB24","IAB24-1"
celticsblog.com,"IAB24","IAB24-4"
theeverygirl.com,"IAB25","IAB25-9"
carbuzz.com,"IAB2","IAB2-4"
fotomac.com.tr,"IAB24","IAB24-18"
dawgsbynature.com,"IAB24","IAB24-1"
m.economictimes.com,"IAB3","IAB3-1"
actu.femmeactuelle.fr,"IAB25","IAB25-9"
finance.walla.co.il,"IAB3","IAB3-1"
thesalarycalculator.co.uk,"IAB17","IAB17-4"
mindgames.com,"IAB11","IAB11-4"
radio-polska.pl,"IAB15",
espreso.co.rs,"IAB16","IAB16-10"
indiewire.com,"IAB14","IAB14-9"
marieclaire.com,"IAB25","IAB25-4"
gourmandiseries.fr,"IAB9","IAB9-12"
jcpenney.com,"IAB23","IAB23-5"
wfaa.com,"IAB16","IAB16-9"
visa-algerie.com,"IAB28","IAB28-3"
milesplit.com,"IAB24","IAB24-36"
ambito.com,"IAB3","IAB3-1"
newrepublic.com,"IAB16","IAB16-11"
mobile.mako.co.il,"IAB16","IAB16-10"
canaltech.com.br,"IAB26","IAB26-14"
cucinaconmegraziellaeraffaele.it,"IAB9","IAB9-12"
heraldo.es,"IAB16","IAB16-9"
m.n12.co.il,"IAB16","IAB16-10"
miss7.24sata.hr,"IAB25","IAB25-4"
hindustantimes.com,"IAB16","IAB16-10"
kentonline.co.uk,"IAB16","IAB16-9"
paginamea.net,"IAB27","IAB27-5"
windycitygridiron.com,"IAB24","IAB24-1"
allocine.fr,"IAB14",
carlsbadcravings.com,"IAB9","IAB9-12"
tradingeconomics.com,"IAB3","IAB3-3"
realityblurb.com,"IAB27","IAB27-5"
play2048.co,"IAB29","IAB29-2"
ca.mail.yahoo.com,"IAB26","IAB26-14"
denoffentlige.dk,"IAB16","IAB16-10"
fitandwell.com,"IAB10","IAB10-3"
gry-online.pl,"IAB29","IAB29-7"
savorynothings.com,"IAB9","IAB9-12"
essentiallysports.com,"IAB24",
forums.hfboards.com,"IAB24",
cumhuriyet.com.tr,"IAB16","IAB16-10"
imagecolorpicker.com,"IAB26","IAB26-27"
preview-elcorreo.com,"IAB16","IAB16-9"
mandiner.hu,"IAB16","IAB16-10"
songsterr.com,"IAB15","IAB15-19"
sweetcraftrecipes.com,"IAB9","IAB9-6"
noticiasdatv.uol.com.br,"IAB27","IAB27-5"
simpleflying.com,"IAB28","IAB28-3"
cmjornal.pt,"IAB16","IAB16-10"
demotivateur.fr,"IAB19","IAB19-2"
247sports.com,"IAB24",
fieldgulls.com,"IAB24","IAB24-1"
wildbirdscoop.com,"IAB11","IAB11-3"
donna.fidelityhouse.eu,"IAB10","IAB10-9"
hoerzu.de,"IAB27",
rockpapershotgun.com,"IAB29","IAB29-10"
wwd.com,"IAB25","IAB25-4"
yumelise.fr,"IAB9","IAB9-12"
the-express.com,"IAB16","IAB16-10"
wp.pl,"IAB16","IAB16-10"
schwaebische.de,"IAB16","IAB16-9"
standard.co.uk,"IAB16","IAB16-9"
squaredle.app,"IAB11","IAB11-4"
f1mania.net,"IAB24","IAB24-2"
racingnews365.com,"IAB24","IAB24-2"
koktips.se,"IAB9","IAB9-12"
ontvtonight.com,"IAB27","IAB27-8"
soester-anzeiger.de,"IAB16","IAB16-9"
radio-nederland.nl,"IAB15",
eastbaytimes.com,"IAB16","IAB16-9"
travel.yahoo.com,"IAB28",
ted.com,"IAB5",
ezgif.com,"IAB26","IAB26-27"
moneydigest.com,"IAB17","IAB17-4"
4fansites.de,"IAB29","IAB29-7"
go.powerstroke.org,"IAB2","IAB2-3"
wthr.com,"IAB16","IAB16-9"
videopoker.com,"IAB29","IAB29-2"
holidaycheck.de,"IAB28","IAB28-13"
aristeguinoticias.com,"IAB16","IAB16-10"
fextralife.com,"IAB29","IAB29-7"
autoevolution.com,"IAB2","IAB2-4"
twitchy.com,"IAB16","IAB16-11"
livewellbakeoften.com,"IAB9","IAB9-6"
lanuovasardegna.it,"IAB16","IAB16-9"
pensador.com,"IAB1",
neurosciencenews.com,"IAB22","IAB22-2"
krosno112.pl,"IAB16","IAB16-9"
bostonglobe.com,"IAB16","IAB16-9"
wcpo.com,"IAB16","IAB16-9"
monjardinmamaison.maison-travaux.fr,"IAB12","IAB12-4"
diariodocentrodomundo.com.br,"IAB16","IAB16-11"
elfinanciero.com.mx,"IAB16","IAB16-4"
sportsmockery.com,"IAB24",
ruhr24.de,"IAB16","IAB16-9"
histoiresroyales.fr,"IAB16","IAB16-10"
go.paddling.com,"IAB28","IAB28-10"
atv.hu,"IAB16","IAB16-11"
digitalcameraworld.com,"IAB26","IAB26-4"
hellhades.com,"IAB29","IAB29-13"
laopiniondemurcia.es,"IAB16","IAB16-9"
rotowire.com,"IAB24","IAB24-14"
willyweather.com,"IAB22","IAB22-10"
preview-diariosur.es,"IAB16","IAB16-9"
new22-laverdad.es,"IAB16","IAB16-9"
new22-todoalicante.es,"IAB16","IAB16-9"
new22-elnortedecastilla.es,"IAB16","IAB16-9"
new22-lasprovincias.es,"IAB16","IAB16-9"
preview-hoy.es,"IAB16","IAB16-9"
preview-eldiariomontanes.es,"IAB16","IAB16-9"
new22-elcomercio.es,"IAB16","IAB16-9"
origin2-justjared.com,"IAB19","IAB19-3"
new22-salamancahoy.es,"IAB16","IAB16-9"
preview-abc.es,"IAB16","IAB16-6"
preview.fool.com,"IAB17","IAB17-7"
test-tiempo.com,"IAB26","IAB26-9"
stgmoneycontrol.com,"IAB3","IAB3-1"
cf-vagas.com.br,"IAB4","IAB4-3"
dev-songfacts.com,"IAB15",
epg-sued-klack.de,"IAB27",
